BIOCHEMICAL	PATHWAY_SORTORDER	# times identifed in all 200 samples	SUPER_PATHWAY	SUB_PATHWAY	COMP_ID	PLATFORM	RI	MASS	CAS	PUBCHEM	KEGG	"Mean (patients with ""No biochemical genetic diagnosis"")"	"standard deviation (patients with ""No biochemical genetic diagnosis"")"	"minimum value (patients with ""No biochemical genetic diagnosis"")"	"maximum value (patients with ""No biochemical genetic diagnosis"")"	    Group HMDB
2-palmitoleoyl-GPC* (16:1)*	1347	191	Lipid	Lysolipid	35819	LC/MS (+)	5482	494.32412				-0.355088186	0.821769229	-2.100696131	2.723597449	
X - 18718		188			41997	LC/MS (+)	1750.5	237.0867				-0.063759757	0.82392318	-2.042849861	3.010544482	
X - 16103		188			38546	LC/MS (-)	659.1	99.00868				0.172393023	0.814038643	-2.12634444	1.962745341	
X - 17137		127			39800	LC/MS (-)	3465.5	449.20383				-0.635666337	1.24738652	-1.375650287	2.203573869	
1-linoleoyl-GPI* (18:2)*	1412	185	Lipid	Lysolipid	36594	LC/MS (-)	5487	595.28888				-0.170788662	0.732834531	-1.872402686	2.379083637	
isoleucylvaline	524	196	Peptide	Dipeptide	40049	LC/MS (+)	2202	231.17032	41017-96-3	5246011;435949		0.432567937	2.873968007	-1.773513359	2.166351885	
1-linoleoyl-GPE (18:2)*	1391	200	Lipid	Lysolipid	32635	LC/MS (-)	5725	476.27826		52925130		-0.202303673	0.896709941	-2.826742078	2.51161196	HMDB11507
taurodeoxycholate	1661	136	Lipid	Secondary Bile Acid Metabolism	12261	LC/MS (-)	5243	498.28948	207737-97-1	2733768	C05463	-2.624949583	3.501322205	-1.140393658	1.611443862	HMDB00896
"1,2-dipalmitoylglycerol"	1466	163	Lipid	Diacylglycerol	35727	GC/MS	2600	313.3	40290-32-2	99931		-0.460011239	0.990771553	-1.489736857	2.013384882	HMDB07098
tryptophylasparagine	645	151	Peptide	Dipeptide	40661	LC/MS (+)	1963	319.14009	175027-11-9			-1.672304099	3.110875108	-1.238833741	2.029025244	
3-dehydrocholate	1685	113	Lipid	Secondary Bile Acid Metabolism	31900	LC/MS (-)	5050	405.26464	2304-89-4	159655		-1.119979548	1.551034566	-0.853198845	3.431941571	HMDB00502
N-acetylthreonine	15	191	Amino Acid	"Glycine, Serine and Threonine Metabolism"	33939	LC/MS (-)	846	160.06153	17093-74-2	152204	C01118	-0.252416583	0.734693111	-2.084699193	2.274059084	
2-hydroxyglutarate	1054	197	Lipid	"Fatty Acid, Dicarboxylate"	37253	GC/MS	1576	247	40951-21-1	43	C02630	-0.118891266	0.701649207	-3.194746434	3.196747529	HMDB00606
X - 17422		79			40247	LC/MS (+)	3684.5	471.19641				-2.63510546	1.819221232	-0.645919927	2.748217232	
theophylline	2409	142	Xenobiotics	Xanthine Metabolism	18394	LC/MS (+)	2495	181.07201	58-55-9	2153	C07130	-2.816900583	3.754345994	-1.125355498	2.104195626	HMDB01889
ribitol	773	189	Carbohydrate	Pentose Metabolism	15772	GC/MS	1692.4	217	488-81-3	6912	C00474	-0.067598331	0.529431998	-1.808845947	3.212129225	HMDB00508
X - 10445		195			32894	LC/MS (+)	1939	250.09342				-0.104076645	0.670375139	-2.573787934	2.751673125	
"1,6-anhydroglucose"	2513	181	Xenobiotics	Food Component/Plant	21049	GC/MS	1679.5	204.1	498-07-7	2724705		-0.831031311	2.074228428	-1.424685179	2.871103478	HMDB00640
campesterol	1525	143	Lipid	Sterol	39511	GC/MS	2353	343.4	474-62-4	173183	C01789	-0.824339044	1.228350796	-1.244089896	1.821917414	HMDB02869
X - 13081		200			34773	LC/MS (+)	5088	304.29893				0.048339725	0.421145097	-1.274223213	5.973375152	
caproate (6:0)	938	200	Lipid	Medium Chain Fatty Acid	32489	LC/MS (-)	2766	115.07645	142-62-1	8892	C01585	-0.021197661	0.451044816	-2.656662521	3.954796712	HMDB00535
paraxanthine	2407	147	Xenobiotics	Xanthine Metabolism	18254	LC/MS (+)	2444	181.07201	611-59-6	4687	C13747	-2.970325185	3.869045868	-1.116987679	2.300470104	HMDB01860
X - 12206		199			33627	LC/MS (-)	654	254.98178				-0.026557172	0.652386762	-3.500141491	2.576192232	
X - 16938		200			39521	LC/MS (-)	2008.8	233.1031				0.100719852	0.566991422	-2.096729007	4.580149794	
tryptophan betaine 	210	155	Amino Acid	Tryptophan Metabolism	37097	LC/MS (+)	2464	247.14411	20671-76-5	442106	C09213	-0.243471465	2.80181868	-1.722536436	1.706545858	HMDB61115
X - 14364		147			36406	LC/MS (+)	3413	277.11771				-0.491763765	1.185610335	-1.020729942	3.325003205	
2-palmitoylglycerol (16:0)	1447	89	Lipid	Monoacylglycerol	33419	GC/MS	2108	129	23470-00-0	123409		-0.83084743	0.901652983	-0.666950528	3.210654202	HMDB11533
cholesterol	1502	200	Lipid	Sterol	63	GC/MS	2316.9	329.3	57-88-5	11025495	C00187	-0.043832397	0.268753225	-3.390908108	3.147585845	HMDB00067
mannitol	849	162	Carbohydrate	"Fructose, Mannose and Galactose Metabolism"	15335	GC/MS	1839	319.1	69-65-8	6251	C00392	-0.877392285	1.909915583	-1.062330202	3.064706716	HMDB00765
hypoxanthine	2117	200	Nucleotide	"Purine Metabolism, (Hypo)Xanthine/Inosine containing"	3127	LC/MS (-)	1313	135.03123	68-94-0	790	C00262	0.062398515	0.596208841	-2.657329599	2.088805927	HMDB00157
indolepropionate	183	171	Amino Acid	Tryptophan Metabolism	32405	LC/MS (+)	4150	190.08626	830-96-6	3744		-1.403366837	3.058317181	-1.896420702	1.423660162	HMDB02302
taurochenodeoxycholate	1653	199	Lipid	Primary Bile Acid Metabolism	18494	LC/MS (-)	5218	498.28948	6009-98-9	387316	C05465	0.14713168	2.434264799	-2.421766087	2.14750341	HMDB00951
X - 12112		194			33527	LC/MS (+)	1243	142.08628				0.215988272	1.078091792	-2.226818297	2.058378053	
X - 12411		163			33839	LC/MS (-)	1077	195.03333				-0.18970555	1.118575555	-1.167652294	2.799727624	
X - 11538		200			32855	LC/MS (-)	4920	311.22213				0.186855983	1.15234685	-2.830986782	4.325466876	
creatine	328	200	Amino Acid	Creatine Metabolism	27718	LC/MS (+)	758	132.07676	57-00-1	586	C00300	0.001557185	0.688884233	-3.108435743	1.618748442	HMDB00064
X - 14320		154			36246	LC/MS (+)	2501	295.12833				-0.62257367	1.777575034	-1.367366568	2.316402596	
1-palmitoylglycerophosphate	1424	200	Lipid	Lysolipid	34428	LC/MS (-)	5752	409.23606	17618-08-5	6419701	C04036	0.259025601	1.083195746	-1.990510224	2.662036047	HMDB00327
N-acetyl-1-methylhistidine*	55	197	Amino Acid	Histidine Metabolism	43255	LC/MS (+)	1019	212.10297				-0.138825986	0.99881087	-2.202824694	3.651332069	
X - 15668		195			37917	LC/MS (+)	3471	412.20892				-0.060525134	0.736385331	-2.443519057	4.517613338	
X - 20619		62			45220	LC/MS (-)	1581.4	218.99748				-1.575447147	1.15476189	-0.557525657	2.83089987	
X - 17303		124			40101	LC/MS (+)	1916.8	176.07035				-0.700921822	0.688785826	-0.914443087	3.077392666	
X - 12544		187			34112	LC/MS (+)	4360	211.0966				0.233291137	1.51216135	-1.851590988	4.768951165	
glycylvaline	488	126	Peptide	Dipeptide	18357	LC/MS (+)	1572	175.10772	1963-21-9	97417		-0.358592575	1.25895253	-1.235131136	3.774815784	HMDB28854
methyl palmitate (16:0)	1081	185	Lipid	"Fatty Acid, Methyl Ester"	12091	GC/MS	1843.8	86.9	112-39-0	8181	C16995	-0.120513832	0.707140343	-1.80782079	1.928149581	
X - 17162		104			39827	LC/MS (+)	4040.8	593.33381				-1.32449965	2.833995575	-0.93205595	3.222676548	
X - 17010		149			39641	LC/MS (-)	3169.5	189.11285				-0.347305613	1.06522902	-1.179488402	2.978971199	
sucralose	2469	51	Xenobiotics	Food Component/Plant	36649	LC/MS (-)	3116	395.00727	56038-13-2	71485	C12285	-1.87117898	1.296003518	-0.433995588	4.245395101	HMDB31554
7-methylxanthine	2418	150	Xenobiotics	Xanthine Metabolism	34390	LC/MS (+)	1778	167.05636	552-62-5	68374	C16353	-1.76477662	3.035030431	-1.100841613	2.139581824	HMDB01991
X - 14192		157			36118	LC/MS (+)	1582	260.19697				-0.451358158	1.325423003	-1.403372501	2.16927062	
valylleucine	681	198	Peptide	Dipeptide	39994	LC/MS (+)	2503.3	231.17032	22906-55-4	352039		0.156502966	1.679603109	-1.810902586	2.232609408	
asparagylvaline	434	83	Peptide	Dipeptide	42028	LC/MS (-)	1310	230.11463	145314-87-0			-1.102186297	1.139530135	-0.684601447	3.078486484	
X - 14808		200			36743	LC/MS (+)	1575	221.0923				0.026786028	0.561502397	-1.720403888	3.901706528	
2-arachidonoyl glycerol	1457	195	Lipid	Monoacylglycerol	19266	LC/MS (-)	5955	303.23295	53847-30-6	5282280	C13856	-0.284756642	1.400130804	-3.855720972	1.649020476	HMDB04666
X - 12092		200			33507	LC/MS (+)	1142	144.10209				0.002925441	1.094422004	-2.106578712	2.785382443	
"4-androsten-3beta,17beta-diol disulfate 2*"	1608	195	Lipid	Steroid	37203	LC/MS (-)	4073	224.06182		10634	C04295	-0.886496955	2.433317585	-1.973425934	2.542157981	HMDB03818
seryltyrosine	627	170	Peptide	Dipeptide	42077	LC/MS (+)	1714	269.1132	21435-27-8	4575735		0.063101958	1.966431328	-1.482295147	3.076618484	
X - 13429		152			35187	LC/MS (-)	4880	263.62767				-0.839531009	2.172817362	-1.232294328	2.174862592	
1-arachidonoyl-GPE* (20:4)*	1395	200	Lipid	Lysolipid	35186	LC/MS (-)	5731	500.27826		42607465		0.048345292	0.691031554	-2.314648389	2.956810876	HMDB11517
4-hydroxyproline betaine	2540	96	Xenobiotics	Food Component/Plant	38100	LC/MS (+)	746	160.09682	515-25-3	164642;1550239		-1.716202655	2.59772923	-0.877474523	3.034000194	
leucylglycine	530	198	Peptide	Dipeptide	40045	LC/MS (+)	1800	189.12337	686-50-0	79070		0.371132224	1.743639297	-1.437813949	3.289442926	
X - 12689		197			34298	LC/MS (+)	1183	278.12339				0.023436125	0.738428862	-3.55892579	2.379991907	
glycerate	758	200	Carbohydrate	"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"	1572	GC/MS	1360.7	189	600-19-1	752	C00258	-0.062472033	0.744975388	-2.566999866	1.887661425	HMDB00139
1-oleoyl-GPI (18:1)*	1410	200	Lipid	Lysolipid	36602	LC/MS (-)	5577	597.30453				-0.047116121	0.919219747	-1.874673496	3.169915441	
X - 13106		196			34798	LC/MS (+)	1029	167.09265				-0.425431801	1.063202485	-1.68086102	3.390532539	
palmitoyl sphingomyelin	1473	200	Lipid	Sphingolipid Metabolism	37506	GC/MS	2524	311.3	6254-89-3	9939941		-0.033900356	0.43998218	-2.115603077	2.300998663	
serylleucine	622	200	Peptide	Dipeptide	40066	LC/MS (+)	2106	219.13394	6665-16-3			0.287781008	1.316149776	-2.213147748	2.543187122	
alpha-tocopherol	2290	200	Cofactors and Vitamins	Tocopherol Metabolism	1561	GC/MS	2305.4	502.5	59-02-9;10191-41-0	14985	C02477	-0.119353619	0.656836385	-2.640072111	2.51338817	HMDB01893
3-methylxanthine	2417	142	Xenobiotics	Xanthine Metabolism	32445	LC/MS (+)	1866	167.05636	1076-22-8	70639	C16357	-2.681148695	3.690601013	-1.12472404	1.919383694	HMDB01886
X - 11905		199			33250	LC/MS (-)	4401	283.19098				0.156906192	1.281820404	-1.746817501	5.014794969	
X - 11334		200			32651	LC/MS (+)	982	259.09272				-0.326747609	0.658868098	-2.582867199	2.820429871	
3-hydroxyisobutyrate	264	200	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	1549	GC/MS	1205	177.11	2068-83-9	87	C06001	0.191909498	0.741767163	-1.810090913	2.567164478	HMDB00336
N-delta-acetylornithine*	316	200	Amino Acid	Urea cycle; Arginine and Proline Metabolism	43249	LC/MS (+)	836.2	175.10772		9920500		-0.291564427	1.08719649	-3.141647259	1.862530839	
xylose	778	192	Carbohydrate	Pentose Metabolism	15835	GC/MS	1723.9	204	609-06-3	135191	C00181	0.268328907	1.163268622	-1.657282409	3.247026047	HMDB00098
X - 19807		200			43558	LC/MS (-)	656.2	92.92807				0.00191088	0.116489523	-1.815005096	3.777771178	
beta-hydroxyisovalerate	228	197	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	12129	LC/MS (-)	1043	117.05572	625-08-1	69362		-0.095310443	0.841872228	-2.221327313	2.727089152	HMDB00754
1-stearoylglycerol (18:0)	1449	200	Lipid	Monoacylglycerol	21188	GC/MS	2186.6	399.4	123-94-4;31566-31-1	24699	D01947	0.115594725	0.907016394	-2.211571878	3.836146158	HMDB31075
X - 19299		171			42775	LC/MS (-)	3838.5	227.1288				-0.91125228	2.47142807	-1.289470336	2.83636277	
X - 12425		187			33854	LC/MS (-)	732	307.15155				-0.052763474	0.962631769	-2.515520986	2.277626051	
X - 18446		198			41672	LC/MS (+)	2683.5	280.15366				-0.474459149	1.440194618	-2.4509631	3.046980092	
X - 19684		67			43269	LC/MS (+)	1227.3	177.08676				-1.697329639	0.948478298	-0.576374507	2.868109246	
X - 17969		72			41071	LC/MS (-)	3448	330.2037				-0.726765104	0.645730919	-0.605506235	3.492775185	
X - 17115		179			39752	LC/MS (-)	1308.7	316.10452				-0.068596585	0.751178094	-3.595807966	1.772717807	
X - 11847		54			33192	LC/MS (-)	3074	259.0096				-2.350766479	1.827330992	-0.454868058	4.914112163	
2-aminophenol sulfate	3036	156	Xenobiotics	Chemical	43266	LC/MS (-)	1670.8	188.0023		181670		-0.557858341	2.11070997	-1.310776461	2.352522229	
X - 11805		50			33150	LC/MS (+)	1845	418.19363				-1.86683516	1.900430568	-0.504594935	4.050558258	
pregn steroid monosulfate*	1573	200	Lipid	Steroid	32619	LC/MS (-)	4998	397.20518	1247-64-9			-0.196379929	1.425108212	-4.185241144	1.759005157	
X - 12688		200			34297	LC/MS (+)	1210	203.13919				0.150319555	0.888666252	-1.66641861	3.122870953	
methyl indole-3-acetate	2658	165	Xenobiotics	Food Component/Plant	1584	LC/MS (+)	4359	190.08626	1912-33-0	74706		-0.545440996	1.184761755	-1.519025716	2.277742239	HMDB29738
X - 11564		200			32881	LC/MS (-)	1188	177.02234				0.035877615	0.49814799	-1.27328045	2.947670522	
gluconate	2544	199	Xenobiotics	Food Component/Plant	587	GC/MS	1879.4	333	527-07-1	10690	C00257	-0.075927469	0.483088742	-2.055618421	2.257776117	HMDB00625
dimethylarginine (ADMA + SDMA)	312	200	Amino Acid	Urea cycle; Arginine and Proline Metabolism	36808	LC/MS (+)	812	203.15026	102783-24-4	123831	C03626	0.035575517	0.373320441	-2.192050758	3.160478857	HMDB01539
nicotinamide	2252	200	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	594	LC/MS (+)	1267	123.05529	98-92-0	936	C00153	0.066046083	0.611355261	-2.554808414	3.018564084	HMDB01406
X - 12456		195			33901	LC/MS (-)	4338	427.21521				0.050818314	1.571796649	-1.549174778	3.313587872	
X - 17189		101			39859	LC/MS (+)	4067.5	619.75278				-1.407074861	2.118878052	-0.906672357	2.767305575	
X - 12700		119			34310	LC/MS (-)	1060	227.1152				-0.43327017	1.203596284	-0.864749515	2.917296863	
cholate	1648	177	Lipid	Primary Bile Acid Metabolism	22842	LC/MS (-)	5148	407.28029	81-25-4	221493	C00695	0.045738236	1.906765133	-1.937588421	2.993572785	HMDB00619
X - 16480		200			39053	LC/MS (-)	4685.5	309.20652				-0.069552845	1.280569838	-2.10027526	4.123450078	
X - 13730		120			35540	LC/MS (-)	1806	233.01206				-1.815237615	2.736911503	-0.915071764	2.193540248	
fructose	839	200	Carbohydrate	"Fructose, Mannose and Galactose Metabolism"	577	GC/MS	1758	217	57-48-7	5984	C00095	0.129154459	0.97630827	-2.636235019	2.93080928	HMDB00660
X - 16935		179			39518	LC/MS (-)	4465.5	447.27438				0.005437463	1.422550924	-2.43117721	2.254240138	
X - 11880		200			33225	LC/MS (-)	5378	537.41502				-0.226314461	1.412127274	-3.87379178	1.596513387	
X - 18039		145			41141	LC/MS (+)	2211.4	399.23441				-0.563273299	2.346258187	-1.126648569	2.897727451	
methylphosphate	2247	195	Nucleotide	Purine and Pyrimidine Metabolism	37070	GC/MS	1221	241	7023-27-0	13130		-0.143136935	0.42036743	-3.062630957	2.449155134	
X - 12225		200			33646	LC/MS (+)	1009	143.1175				-0.059733884	0.552311912	-3.141112052	3.274396788	
isovalerylcarnitine (C5)	225	199	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	34407	LC/MS (+)	2533	246.16999	31023-24-2	6426851		0.110979945	0.878676319	-2.520323336	2.010930093	HMDB00688
threonate	2287	200	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	27738	GC/MS	1560.7	292.1	70753-61-6	151152	C01620	-0.422744639	0.913563864	-2.653191495	3.273417842	HMDB00943
tauroursodeoxycholate	1672	132	Lipid	Secondary Bile Acid Metabolism	39378	LC/MS (-)	5002.6	498.28948	14605-22-2	9848818		-0.709868352	1.824780392	-1.031398823	3.048330941	HMDB00874
X - 13504		187			35278	LC/MS (+)	948	228.09776				-0.244038765	0.966583972	-1.577579562	3.718693761	
stachydrine	2715	200	Xenobiotics	Food Component/Plant	34384	LC/MS (+)	860	144.10191	4136-37-2	115244	C10172	0.242607015	2.743880857	-2.566788445	1.806494651	HMDB04827
leucylalanine	525	184	Peptide	Dipeptide	40010	LC/MS (+)	1760	203.13902	7298-84-2	259321		0.345317058	1.869415109	-1.467251428	3.054441989	
phenylalanylserine	589	178	Peptide	Dipeptide	40016	LC/MS (+)	1808	253.11829	16053-39-7	9859812		0.062464147	1.474678962	-1.863467198	1.956050946	
succinate	923	200	Energy	TCA Cycle	1437	GC/MS	1348	247	110-15-6	1110	C00042	0.117257689	0.670327029	-2.371706494	2.627358598	HMDB00254
glycohyocholate	1679	170	Lipid	Secondary Bile Acid Metabolism	42574	LC/MS (-)	5010	464.30176				-0.065956625	2.202547556	-1.528378625	2.527723716	
L-urobilin	2327	73	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	40173	LC/MS (+)	4091	595.34902	34217-90-8	5280818	C05793	-1.984906344	2.961335352	-0.769032087	2.97970938	HMDB04159
X - 13658		61			35451	LC/MS (-)	4667	253.08348				-1.207809168	1.737288733	-0.52338497	6.032134156	
2-hydroxyhippurate (salicylurate)	2353	142	Xenobiotics	Benzoate Metabolism	18281	LC/MS (-)	2252	194.04588	487-54-7	10253	C07588	-0.318526058	1.959575992	-0.663413378	4.450127678	HMDB00840
1-margaroylglycerophosphoethanolamine*	1384	195	Lipid	Lysolipid	37419	LC/MS (-)	6029	466.29391				-0.202415284	0.749885482	-2.726654459	2.08574322	
pregnen-diol disulfate*	1572	200	Lipid	Steroid	32562	LC/MS (-)	3886	238.07747				-0.095930692	1.528880483	-2.333883784	2.761439004	
tyrosylglutamate	661	192	Peptide	Dipeptide	42953	LC/MS (+)	1558	311.12377				-0.038642187	0.865326134	-2.59485713	3.311352821	
X - 18779		192			42154	LC/MS (-)	1944.7	209.0453				-0.0965747	0.541692229	-2.24296377	2.607385717	
pyroglutamylglutamine	611	192	Peptide	Dipeptide	22194	LC/MS (-)	879	256.09389	109481-23-4			-0.069691239	0.93499078	-1.963230543	2.119888603	
glycylleucine	478	196	Peptide	Dipeptide	34398	LC/MS (+)	2236	189.12337	869-19-2	92843	C02155	-0.137461172	1.115078713	-2.337593426	2.363039395	HMDB00759
3-phenylpropionate (hydrocinnamate)	167	122	Amino Acid	Phenylalanine and Tyrosine Metabolism	15749	LC/MS (-)	2830	149.0608	501-52-0	107	C05629	-0.536510493	1.547467504	-1.000890413	2.268775545	HMDB00764
tryptophylglutamate	647	199	Peptide	Dipeptide	41401	LC/MS (+)	2246	334.13975	36099-95-3	3634442		0.017864809	1.495527058	-2.19176043	1.942427957	
sphingosine	1479	199	Lipid	Sphingolipid Metabolism	17747	LC/MS (+)	5197	300.28971	123-78-4	5353955	C00319	0.012058157	0.991273642	-3.918497605	2.081700721	HMDB00252
gamma-CEHC	2298	194	Cofactors and Vitamins	Tocopherol Metabolism	37462	LC/MS (-)	3818	263.12888	178167-75-4	133098		-0.200703276	1.504993634	-2.403333131	2.205588437	HMDB01931
urate	2125	200	Nucleotide	"Purine Metabolism, (Hypo)Xanthine/Inosine containing"	1604	LC/MS (-)	769	167.02106	69-93-2;120K5305	1175	C00366	-0.080106835	0.453684923	-3.069951681	4.129617931	HMDB00289
levulinate (4-oxovalerate)	2502	184	Xenobiotics	Food Component/Plant	22177	LC/MS (+)	1867	117.05462	123-76-2	11579		-0.680776551	1.238916649	-1.961543747	1.710641265	HMDB00720
furaneol	2618	175	Xenobiotics	Food Component/Plant	38113	LC/MS (+)	2545	129.05462	3658-77-3	19309;25200724		-0.208405759	1.024191545	-2.552481567	2.199454567	HMDB40594
X - 14939		200			36966	LC/MS (-)	4355	165.0917				-0.043168309	1.079050903	-2.410262648	2.132672095	
X - 11843		115			33188	LC/MS (-)	2710	230.01239				-1.297451799	2.081249477	-0.977898179	2.690610003	
X - 16944		199			39527	LC/MS (-)	3693.5	141.09175				-0.273020798	1.120706107	-2.751835267	2.146704316	
pyridoxate	2347	200	Cofactors and Vitamins	Vitamin B6 Metabolism	31555	LC/MS (-)	2210	182.04588	82-82-6	6723	C00847	-0.588140768	1.5013243	-2.113763227	4.141455527	HMDB00017
1-methylxanthine	2416	184	Xenobiotics	Xanthine Metabolism	34389	LC/MS (+)	1974	167.05636	6136-37-4	80220	C16358	-0.111582309	1.976363576	-1.671956643	2.444271104	HMDB10738
2-ethylhexanoic acid	3053	200	Xenobiotics	Chemical	1554	GC/MS	1210.5	201.2	123-66-0;149-57-5	8697		-0.117430965	0.675880262	-2.43249541	2.485414215	HMDB31230
arginylproline	427	175	Peptide	Dipeptide	41394	LC/MS (+)	785.8	272.17172	2418-69-1	332964		-0.375074202	2.205771551	-1.768639739	2.124212253	
1-arachidonylglycerol	1456	199	Lipid	Monoacylglycerol	34397	LC/MS (-)	5937	303.23295	35474-99-8	5282281	C13857	-0.012668155	0.907714853	-2.743747372	3.098098322	HMDB11572
X - 14588		200			36515	LC/MS (-)	648	150.88628				0.001188384	0.125539029	-2.418934994	3.262219498	
"bradykinin, des-arg(9)"	693	107	Peptide	Polypeptide	34420	LC/MS (+)	3516	452.73742	15958-92-6	105044	C00306	-1.263344243	3.014490471	-0.893612819	2.497333762	HMDB04246
1-palmitoleoyl-GPC* (16:1)*	1346	200	Lipid	Lysolipid	33230	LC/MS (+)	5524	494.32412		24779461		-0.290967255	0.762594208	-3.019436676	2.549226596	
kynurenate	187	200	Amino Acid	Tryptophan Metabolism	1417	LC/MS (+)	2825	190.04987	492-27-3	3845	C01717	0.122208727	0.888884172	-2.494505236	3.263276282	HMDB00715
2-hydroxystearate	1181	200	Lipid	"Fatty Acid, Monohydroxy"	17945	LC/MS (-)	5705	299.25917	629-22-1	69417	C03045	0.037708881	0.277444683	-3.486392572	1.983386728	
X - 15562		199			37811	LC/MS (+)	4686	470.20139				-0.161129371	0.895315963	-4.17677689	2.465250228	
X - 13005		108			34690	LC/MS (-)	3519	197.00133				-0.129394463	0.490304589	-0.624987449	5.567185577	
leucylphenylalanine	535	186	Peptide	Dipeptide	40026	LC/MS (+)	3308	279.17032	424904	259325		0.001524781	2.59406613	-1.678394304	2.407200483	
X - 16394		200			38963	LC/MS (+)	1719	229.155				-0.111430034	0.755154808	-2.569499419	2.557278469	
chiro-inositol	1302	104	Lipid	Inositol Metabolism	37112	GC/MS	1857	318.1	643-12-9			-2.105801216	3.030581791	-0.818535691	2.91898792	
X - 15563		199			37812	LC/MS (+)	4749	490.17017				-0.157050111	0.933478512	-4.188575662	2.539600752	
X - 15497		182			37745	LC/MS (-)	2877	236.0921				-0.195406575	1.05267577	-1.731719801	2.2593629	
X - 12802		195			34485	LC/MS (+)	2731	318.19151				0.202657985	1.772892776	-1.797904321	2.992484214	
X - 18309		191			41491	LC/MS (+)	4323.5	621.38989				0.029424989	0.830689438	-1.046075977	7.578912043	
choline	1328	200	Lipid	Phospholipid Metabolism	15506	LC/MS (+)	674	104.10699	67-48-1	305	C00114	0.03862971	0.385027561	-2.267288488	2.841385209	HMDB00097
X - 18227		197			41331	LC/MS (+)	1817.3	160.09682				0.089679288	1.239997977	-2.214172087	2.408253627	
1-methylnicotinamide	2264	197	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	27665	LC/MS (+)	688	137.07094	1005-24-9	10129985		0.072658662	1.430332551	-1.662598702	3.016902472	
xanthurenate	193	183	Amino Acid	Tryptophan Metabolism	15679	LC/MS (+)	2690	206.04479	59-007	5699	C02470	-0.356787369	1.533490139	-2.464955274	2.202642882	HMDB00881
X - 16397		200			38966	LC/MS (+)	2200.8	248.09545				-0.10257065	0.820464266	-2.547565614	2.412116482	
4-methylcatechol sulfate	2383	190	Xenobiotics	Benzoate Metabolism	42493	LC/MS (-)	2666.4	203.00196				-0.395984493	1.932363412	-2.388073835	1.705684283	
X - 11342		178			32659	LC/MS (-)	870	112.98577				0.01765707	0.652586627	-1.112057868	4.4542887	
X - 11449		200			32766	LC/MS (+)	1303	119.03508				0.122250172	0.683715824	-1.83621809	3.795396159	
N-acetylcarnosine	383	197	Peptide	Dipeptide Derivative	43488	LC/MS (+)	1145	269.12444	56353-15-2	9903482		-0.188423002	1.053237532	-1.896717873	2.813475626	
arabinose	780	182	Carbohydrate	Pentose Metabolism	575	GC/MS	1631.6	217	28697-53-2	66308	C00216	-0.164973362	0.909900533	-2.335631731	1.961980809	HMDB00646
N6-methyladenosine	2145	200	Nucleotide	"Purine Metabolism, Adenine containing"	37114	LC/MS (+)	1985	282.11969	1867-73-8	102175		0.146344465	0.583151883	-1.730123682	3.164993593	HMDB04044
AMP	2131	140	Nucleotide	"Purine Metabolism, Adenine containing"	32342	LC/MS (+)	1210	348.07037	149022-20-8	6083	C00020	-0.372767109	0.695181904	-1.149588759	3.517678665	HMDB00045
X - 12860		198			34544	LC/MS (+)	2264	276.1809				0.050425494	1.41482901	-2.120588913	2.086273691	
taurolithocholate 3-sulfate	1668	187	Lipid	Secondary Bile Acid Metabolism	36850	LC/MS (-)	5002	280.62205	64936-83-0	440071	C03642	-0.442270107	2.022223638	-1.955239704	1.846879697	HMDB02580
histidylphenylalanine	499	198	Peptide	Dipeptide	42084	LC/MS (+)	1730	303.14517	16874-81-0	4466133		0.165536458	1.616967856	-1.445757523	2.474750081	
N-6-trimethyllysine	72	200	Amino Acid	Lysine Metabolism	1498	LC/MS (+)	650	189.15976	23284-33-5	440120	C03793	0.096632765	0.529177184	-1.207556142	4.593823965	HMDB01325
oleic ethanolamide	1287	199	Lipid	Endocannabinoid	38102	LC/MS (-)	6553	324.2908	11-58-0;111-58-0	5283454		-0.055928449	0.646979011	-2.56253264	2.493852756	HMDB02088
X - 12846		125			34529	LC/MS (-)	4218	481.24353				-0.925521542	1.056302345	-0.981554117	2.498108289	
X - 15559		199			37808	LC/MS (+)	4418	450.23431				-0.192361033	0.92910048	-3.885007445	2.4825533	
X - 11541		192			32858	LC/MS (-)	4984	398.93759				-0.299799716	1.237268789	-2.443583527	2.012593956	
X - 11478		200			32795	LC/MS (-)	4286	165.0917				-0.24009401	1.171565013	-2.797144866	2.363636061	
2-methylmalonyl carnitine	1122	200	Lipid	Fatty Acid Synthesis	35482	LC/MS (+)	1539	262.12852	149181-64-6	53481628		-0.094682238	0.470620074	-2.178918202	2.753829523	HMDB13133
X - 12627		130			34221	LC/MS (-)	5732	357.28015				-0.715619164	1.19622709	-1.061372703	2.090169208	
