MolPheno1	MolPheno2	MolPheno3	MolPheno4	MolPheno5	MolPheno6	MolPheno7	MolPheno8	MolPheno9	MolPheno10	MolPheno11	MolPheno12	MolPheno13	MolPheno14	MolPheno15	MolPheno16	MolPheno17	MolPheno18	MolPheno19	MolPheno20	MolPheno21	MolPheno22	MolPheno23	MolPheno24	MolPheno25	MolPheno26	MolPheno27	MolPheno28	MolPheno29	MolPheno30	MolPheno31	MolPheno32	MolPheno33	MolPheno34	MolPheno35	MolPheno36	MolPheno37	MolPheno38	MolPheno39	MolPheno40	MolPheno41	MolPheno42	MolPheno43	MolPheno44	MolPheno45	MolPheno46	MolPheno47	MolPheno48	MolPheno49	MolPheno50	MolPheno51	MolPheno52	MolPheno53	MolPheno54	MolPheno55	MolPheno56	MolPheno57	MolPheno58	MolPheno59	MolPheno60	MolPheno61	MolPheno62	MolPheno63	MolPheno64	MolPheno65	MolPheno66	MolPheno67	MolPheno68	MolPheno69	MolPheno70	MolPheno71	MolPheno72	MolPheno73	MolPheno74	MolPheno75	MolPheno76	MolPheno77	MolPheno78	MolPheno79	MolPheno80	MolPheno81	MolPheno82	MolPheno83	MolPheno84	MolPheno85	MolPheno86	MolPheno87	MolPheno88	MolPheno89	MolPheno90	MolPheno91	MolPheno92	MolPheno93	MolPheno94	MolPheno95	MolPheno96	MolPheno97	MolPheno98	MolPheno99	MolPheno100
Patient41	1757	104617	47	36942.5	873.5	384.5	317	2017.95	1774.95	3740	1865.5	19234	348	451.583333333333	1343.5	1211.45	11719.0833333333	5122.41666666667	340.75	4640	3623	5597	6439	10795	222	4028	10453.5	309.666666666667	504.5	6951	1916	1160	809	201	4186	5270.5	648	354.5	260.5	3209.83333333333	252.5	2753.08333333333	34	14	751.333333333333	3544.33333333333	2853	506091.5	9	18	1489	3864	1330.5	59	1491	207	463	348	6813	4286.58333333333	135	106	123	581	14	124	3	1199.83333333333	56	50	122	1828	202.5	147	123	1512	1166.5	1512	644	61	139	25	8	96.45	167	2937	113	10	38	45	35	158	53	97	22	9.5	6.5	342	25	1765
Patient42	1391061	257254	799	20005	5932.5	7148	14284	25215.2833333333	24718.2833333333	6688	3647.5	2404	2109	22928.8666666667	6633.5	21603.1166666667	89	451.5	20542.7833333333	859	4563	1189	3072.5	82588	966	405.5	3631	18770.7833333333	597.5	193	53	6622	5011.5	1068	2612	61	6339	365	3604.5	204	3596.5	137.5	1039	111	33	177	12	557	930	334.5	1155	465	348.5	53	27	3307	91	2728	683	87	9473	307	85	6	20	267	49	3	519	565	991	68	88	621	107	80.5	8	84.5	29	62	78	173	405	183.783333333333	1122	7	334	0	279	986	282	604	153	444	68	32.5	24.5	157	14	760
Patient43	48465	4377	172	276	264	125.5	231	4496.33333333333	4411.33333333333	96	66	164	43.5	3504.31666666667	77	3914.33333333333	54	17.5	3187.9	131	109	34	102	5344	15	19	70	2992.65	24	11	22	159	37	12	18	53	26	127	84.5	10	84.5	10	10	0	1	12	11	1710	8	12	29	15	6	1	6	46	1	61	16	5.5	35	0	47	3	0	4	0	0	2	2	10	26	1	6	0	2.5	3	2.5	5	22.5	14	0	0	2.75	2	5	1	0	3.5	0	3.5	12	17	0	1	0.5	0.5	1	0	18
Patient44	494984	39747	162	2639	1013	4976	13034	7559.28333333333	7304.28333333333	2420	18859.5	1333	1502	4808.06666666667	1176	6008.78333333333	6762.16666666667	3569	4362.81666666667	2607	2222	383.5	5169	110434	247	4114.5	6086	4162.81666666667	250	755.5	1089	1237	7427	118	1432	122.5	430	35425.5	2021	79	2015	756.666666666667	1272	46	29	150	130	1450	28	9743.86204906205	667	66	232	280	185	1850	46	648	139.5	291.833333333333	1181	56	24	403.5	11	606	24	239.333333333333	938	11	229	1134	244	177	131	80.5	130.5	81.5	316	885.5	571.5	98	309	2.95	396	5	77	0	51	81	51	163	522.5	225	356	117	100	205.5	32	142
Patient45	698	107761	2	10441	1373	10980.5	123	2575.7	2433.7	7166	929	47311.5	8076.5	604.416666666667	1970.5	1960.86666666667	16260.6666666667	6689.16666666667	435.083333333333	19547	4418	73591.8333333333	14350.5	3659	154	5864	7206	391.583333333333	561	22121	9344	1154	2708	735	13848	51925	1675	1418	1886	4197	1886	3509.16666666667	93	30	1884	7806	1060	6747161	51	37.4444444444444	1147	1128	3674	42	542	1351	2026	665	1638.5	8116.5	329	561	240	3498	6	244	2	2441.66666666667	35	186	112	21542	429.5	26	36	764.5	1252	767.5	818	127	3508	41	10	352.616666666667	354	3824	2440	1	53.5	58	47.5	65	46	494	24	3.5	3.5	1911.33333333333	3	756
Patient46	715533	277718	2066	17813.5	7315.5	4824	63364	4292.91666666667	4043.91666666667	3817	64167.5	57375.5	48762	8077.51666666666	23459.5	2995.91666666667	21456.1666666667	7963.33333333333	7033.85	8383	3928	44071.1666666667	11665.5	73240	273	18466	3508.66666666667	6776.51666666666	2354.5	7739	52381	6289	15235	796	5354	13187	2803	17345	3739.5	2917.5	3718.5	1721.16666666667	3037	121.5	602.5	2093	997	2049	1490	1509.46428571429	3778	441	6270	3192	1237	3244	845	1862	2248	1899.16666666667	1409	400	122	951	7	1033	188	308.333333333333	709	844	661	6712	770.5	226	209	414.5	721.5	411.5	327	4741	1632	1064	199	57.75	509	8	1146	4	284	205	285	191	220	881	997	1167.5	1084.5	991.666666666667	24	299
Patient47	1430	44691	14	7325.5	407	693	213	1059.16666666667	964.166666666667	4529	411	6524.5	219	371.166666666667	387	734.166666666667	2117.5	1587.5	295.166666666667	3392	1907	7764.5	3489.5	2009	88	2095	2238.5	282.416666666667	471	2967.5	731	472	1112	113	2418	12575	265	239	267.5	1189	259.5	314.333333333333	430	13.3333333333333	535	1579	384	1322167	33	7	603	712	807	77	361	309	848	148	705.5	2245.5	108	115	27	159.5	0	48	1	222.166666666667	16	36	31	2241	73	10	14	194	171	195	233	20	192	7	8	11.5	82	555	236	2	30.8333333333333	39	26.8333333333333	43	9	144	5	3	3	326.5	1	544
Patient48	30117	702805	7353	7260	1527.5	10564	3066	13897.8333333333	13525.3333333333	1288	3101.5	30521.5	7140	8879.1	37804.5	11809.3333333333	332.5	343.666666666667	7573.13333333333	1578	4374	35747.3333333333	1124	85616	549	5289.5	1063	6451.13333333333	347.5	508	2509	5132	2627.5	655	4118	4434	1510	948	1495.5	1622.5	1492.5	99	233	67.5	449.5	171	136	8114	1861	17025.8008658009	2943	327	744.5	93	24	375	1442	261	206	127.666666666667	335	44	1005	70	29	142	6	15.6666666666667	230	2689	1037	793	55.5	74	140	213.5	15	216.5	3044	356	716.5	55	73	179.25	151	10	354	20	115	132	118	175	414.5	160	131	106.5	94.5	279.333333333333	541	111
Patient49	561	25893	24	167	15	17	30	277.916666666667	235.916666666667	1315	213	1852.5	7	101.666666666667	220	128.916666666667	4627	965.833333333333	70	81	295	1247.5	657.5	1668	27	725	136.5	66	36	1279.5	154	149	105	8	291	1321	75	23	40	167.5	40	328.5	4	2	108.5	420	352	69350	1	2	221	40	489	1	329	38	23	97	6	377.333333333333	11	13	8	171.5	0	6	1	81	16	5	39	186	32	10	17	36.5	308	35.5	135	5	22.5	3	2	7.25	29	36	8	0	17	4	17	40	2.5	15	1	1.5	1.5	38.5	0	126
Patient50	4614	88393	257	39485.5	2152.5	5318.5	3180	4387.61666666667	4152.61666666667	5649	1120	54901	3220.5	1902.16666666667	2460.5	3448.95	20664.3333333333	10083.8333333333	1613.33333333333	77217	7932	24991.5	26524	3640	835	26138.5	14912.8333333333	1575.75	3342.5	18762.5	10014	1050	3368	2264	10467	195073.5	1108	4120	1582	5912	1552	2496.83333333333	185	32	1917	5790	1697	2893987.5	162	71	1179	2886	10996	1977	564	1747	2369	262	6869	19381.5	229	129	193	4670	9	646	4	6090.83333333333	105	329	205	29842	334.5	11	82	657.5	1198	657.5	1121	242	1994	276	105	290.783333333333	320	6642	1120	2	81	26	78	94	133	913	35	61	53	1622	9	2217
